dlga_town_merchant_talk:smith_requested_repair_1|我想精炼我的一件武器。
dlga_smith_requested_repair_1:smith_requested_repair_2|哪一个？
dlga_smith_requested_repair_2:merchant_trade|没事。
dlga_item_improve_1:item_improve_2|嗯，我来看看……你的{s7}是{s8}。我想我能把它打造成{s9}，收{reg1}银便士。{s10}
dlga_item_improve_1:merchant_trade|嗯，我来看看……你的{s7}已经无可精炼，我帮不上忙。
dlga_item_improve_2:item_improve_3|成交！
dlga_item_improve_2:merchant_trade|我改主意了。
dlga_item_improve_2:merchant_trade.1|我的钱不够。
dlga_item_improve_3:merchant_trade|你的{s7}拿好，已经精炼完毕。
dlga_town_merchant_talk:armorer_requested_repair_1|我想精炼我的一件护甲。
dlga_armorer_requested_repair_1:armorer_requested_repair_2|哪一个？
dlga_armorer_requested_repair_2:merchant_trade|没事。
dlga_merchant_trade:town_merchant_talk|还有事吗？
dlga_town_merchant_talk:merchant_gossip|哪一件？
dlga_merchant_gossip:town_merchant_talk|告诉我，最近大家都在聊些什么？
dlga_merchant_gossip:town_merchant_talk.2|我不知道有什么你会感兴趣的事。
dlga_town_merchant_talk:close_window|我带来了些俘虏。
dlga_start:town_dweller_talk|唉，最近没什么新鲜事。物价、天气、战事，还是老一套。
dlga_start:town_dweller_talk.1|日安，{reg59?女士:先生}。
dlga_town_dweller_talk:town_dweller_ask_fugitive|我的{reg59?女士:大人}？
dlga_town_dweller_ask_fugitive:close_window|{reg59?女士:先生}，陌生人常来常往。若他真躲在这儿，你四处找找定能发现。
dlga_town_dweller_talk:town_dweller_ask_music|你在附近见过{s22}演奏的守卫吗？
dlga_town_dweller_ask_music:close_window|陌生人来来往往，{reg59?女士:先生}。我没听说也没见过那样的人，若他真藏在这儿，你四处找找或许能发现。
dlga_town_dweller_ask_music:close_window.1|陌生人常来我们村子，{reg59?女士:先生}。前几天我和朋友听人说起{s22}，可我不记得那人是谁了。也许他已经走了？
dlga_town_dweller_talk:town_dweller_ask_ghost|我在找一个可能是鬼也可能不是的人。
dlga_town_dweller_ask_ghost:close_window|鬼？哈！鬼白天可不会现身！夜里去找吧！
dlga_town_dweller_ask_ghost:close_window.1|鬼？鬼不会自己冒出来！你得从他身边走过，才能把他唤醒。
dlga_town_dweller_quest_meet_spy_in_enemy_town:town_dweller_quest_meet_spy_in_enemy_town_dont_know|啊？那是什么胡话？
dlga_town_dweller_quest_meet_spy_in_enemy_town_dont_know:close_window|没事。
dlga_town_dweller_quest_meet_spy_in_enemy_town_know:town_dweller_quest_meet_spy_in_enemy_town_chat|{s4}派我来收你的报告。你带在身上了吗？
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat:town_dweller_quest_meet_spy_in_enemy_town_chat_2|我正等你呢。拿好，务必让{s4}及时收到，完好无损。
dlga_town_dweller_quest_meet_spy_in_enemy_town_chat_2:close_window|我带来了些俘虏。
dlga_town_dweller_talk:town_dweller_ask_info|能跟我说说这座村子吗？
dlga_town_dweller_talk:town_dweller_ask_info.1|能跟我说说这座镇子吗？
dlga_town_dweller_talk:town_adda_ask_info|哪里能找到艾达？
dlga_town_adda_ask_info:town_dweller_talk|她住在码头，{reg59?女士:先生}，在那儿跟商人们做买卖。那儿有一排高房子，她就在其中一幢。
dlga_town_dweller_talk:town_dweller_ask_situation|这里的日子过得怎样？
dlga_town_dweller_ask_situation:town_dweller_poor|灾难砸在我家头上，{reg59?女士:先生}。我们没有一寸地，别人也没钱雇我们，更帮不了我们。我可怜的孩子病饿交加地躺在家里。我真不知道该怎么办。
dlga_town_dweller_ask_situation:town_dweller_poor.1|我活得苦极了，{reg59?女士:先生}。几个月找不到活干，我可怜的孩子每晚饿着肚子睡觉。邻居们自己也穷得叮当响，帮不了我。
dlga_town_dweller_poor:town_dweller_poor_paid|那就收下这300银便士吧。希望这能帮到你和你的家人。
dlga_town_dweller_poor:town_dweller_poor_not_paid|那很明显，你得去别处闯闯，或者改学别的手艺。
dlga_town_dweller_poor_not_paid:close_window|是的，{reg59?女士:先生}。我会照您说的做。
